Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Proxy_Soft_Outlier,Proxy_Row_Score,Proxy_Row_Incidents,Proxy_Row_Reasons_Collected,Proxy_Risk_Score,Proxy_Reasons
389,482,0,463,19,1,0,482,96.05809128630706,FALSE,0,0,[],0,None
390,482,0,446,36,1,0,482,92.53112033,FALSE,0,0,[],0,None
391,483,0,449,34,1,0,483,92.96066252587991,FALSE,0,0,[],0,None
392,481,0,448,33,1,0,481,93.13929313929314,FALSE,0,0,[],0,None
393,481,0,445,36,1,0,481,92.51559251559252,FALSE,0,0,[],0,None
394,481,0,441,40,1,0,481,91.68399168399168,FALSE,0,0,[],0,None
395,482,0,439,43,1,0,482,91.07883817427386,FALSE,0,0,[],0,None
396,482,0,451,31,1,0,482,93.56846473029046,FALSE,0,0,[],0,None
397,483,0,459,24,1,0,483,95.03105590062111,FALSE,0,0,[],0,None
398,483,0,450,33,1,0,483,93.16770186335404,FALSE,0,0,[],0,None
399,484,0,455,29,1,0,484,94.00826446280992,FALSE,0,0,[],0,None
400,482,0,446,36,1,0,482,92.53112033,FALSE,0,0,[],0,None
401,482,0,458,24,1,0,482,95.02074688796681,FALSE,0,0,[],0,None
402,482,0,383,99,1,0,482,79.46058091286307,FALSE,0,0,[],0,None
403,482,0,407,75,1,0,482,84.43983402489627,FALSE,0,0,[],0,None
404,482,0,451,31,1,0,482,93.56846473029046,FALSE,0,0,[],0,None
405,482,0,452,30,1,0,482,93.77593361,FALSE,0,0,[],0,None
406,482,0,436,46,1,0,482,90.45643153526972,FALSE,0,0,[],0,None
407,484,0,455,29,1,0,484,94.00826446280992,FALSE,0,0,[],0,None
408,484,0,456,28,1,0,484,94.21487603305785,FALSE,0,0,[],0,None
409,484,0,453,31,1,0,484,93.59504132231405,FALSE,0,0,[],0,None
410,484,0,451,33,1,0,484,93.18181818181819,FALSE,0,0,[],0,None
411,483,0,452,31,1,0,483,93.58178053830228,FALSE,0,0,[],0,None
412,483,0,451,32,1,0,483,93.37474120082815,FALSE,0,0,[],0,None
413,483,0,452,31,1,0,483,93.58178053830228,FALSE,0,0,[],0,None
414,483,0,455,28,1,0,483,94.20289855072464,FALSE,0,0,[],0,None
415,483,0,461,22,1,0,483,95.44513457556936,FALSE,0,0,[],0,None
416,483,0,434,49,1,0,483,89.85507246376811,FALSE,0,0,[],0,None
417,483,0,449,34,1,0,483,92.96066252587991,FALSE,0,0,[],0,None
